episode_id,frame_index,global_index,normalized_progress,prompt_id,prompt_class,instruction,noise_hash,pred_action_x,pred_action_y,pred_action_z,pred_action_gripper,gripper_regime,class_open_count,class_prompt_count,class_open_percentage,class_close_percentage,selected_for_microtask,microtask_selection_reason
5,230,1518,0.8273381294964028,C03,Contradictory,place only the cream cheese box in the basket and move the butter beside the basket,sha256:727d9925731cdbf0,-0.3154482543468475,-0.0316096395254135,0.2587168514728546,1.0138815641403198,CLOSING,3,10,30.0,70.0,False,opening variant nearest the Contradictory mean translation vector
5,230,1518,0.8273381294964028,U09,Unrelated,put the blue cup on the upper shelf,sha256:727d9925731cdbf0,-0.4919672012329101,-0.1972679793834686,-0.4572765231132507,-0.99644273519516,OPENING,7,10,70.0,30.0,True,opening variant nearest the Unrelated mean translation vector
5,230,1518,0.8273381294964028,C01,Contradictory,put the cream cheese box in the basket but leave the butter outside the basket,sha256:727d9925731cdbf0,-0.2318121194839477,-0.1527764201164245,-0.0586036182940006,-0.9782106280326844,OPENING,3,10,30.0,70.0,True,opening variant nearest the Contradictory mean translation vector
5,230,1518,0.8273381294964028,P10,Paraphrase,"into the basket, place both the cream cheese box and the butter",sha256:727d9925731cdbf0,-0.1602755486965179,0.2078928649425506,0.6673575043678284,1.001698613166809,CLOSING,0,10,0.0,100.0,False,closing variant nearest the Paraphrase mean translation vector
5,230,1518,0.8273381294964028,C07,Contradictory,put the cream cheese box in the basket and move the butter to the far side of the table,sha256:727d9925731cdbf0,-0.2823009192943573,-0.2065509855747223,-0.4344688057899475,-0.9895729422569276,OPENING,3,10,30.0,70.0,False,opening variant nearest the Contradictory mean translation vector
5,230,1518,0.8273381294964028,P07,Paraphrase,take the cream cheese box and the butter and place them in the basket,sha256:727d9925731cdbf0,-0.1598407328128814,0.2576243877410888,0.5622575283050537,0.99335378408432,CLOSING,0,10,0.0,100.0,True,closing variant nearest the Paraphrase mean translation vector
5,230,1518,0.8273381294964028,C02,Contradictory,put the butter in the basket but leave the cream cheese box on the table,sha256:727d9925731cdbf0,-0.0469353273510932,-0.0069756731390953,0.5845974683761597,0.9903202652931212,CLOSING,3,10,30.0,70.0,False,opening variant nearest the Contradictory mean translation vector
5,230,1518,0.8273381294964028,C10,Contradictory,"move the cream cheese box into the basket, then take the butter out of the basket",sha256:727d9925731cdbf0,-0.3895256519317627,-0.1270751506090164,-0.3624360859394073,-0.9854444861412048,OPENING,3,10,30.0,70.0,False,opening variant nearest the Contradictory mean translation vector
5,230,1518,0.8273381294964028,C08,Contradictory,stack the butter on top of the cream cheese box outside the basket,sha256:727d9925731cdbf0,-0.0585968345403671,-0.0916799902915954,0.5779803395271301,1.0165839195251465,CLOSING,3,10,30.0,70.0,False,opening variant nearest the Contradictory mean translation vector
5,230,1518,0.8273381294964028,P08,Paraphrase,ensure that both the butter and the cream cheese box are inside the basket,sha256:727d9925731cdbf0,-0.1599879264831543,0.1736243367195129,0.7056410312652588,0.9928539395332336,CLOSING,0,10,0.0,100.0,False,closing variant nearest the Paraphrase mean translation vector
