episode_id,frame_index,global_index,normalized_progress,prompt_id,prompt_class,instruction,noise_hash,pred_action_x,pred_action_y,pred_action_z,pred_action_gripper,gripper_regime,translation_distance_from_correct,cosine_similarity_to_correct,angular_difference_deg,class_mean_x,class_mean_y,class_mean_z,class_mean_translation_distance_from_correct
3,38,794,0.1324041811846689,CORRECT,Correct,put both the cream cheese box and the butter in the basket,sha256:20f78d499b78c367,0.1047391891479492,-0.2656738758087158,-0.5404688715934753,-1.016918420791626,OPENING,0.0,1.0,0.0,0.1047391891479492,-0.2656738758087158,-0.5404688715934753,0.0
3,38,794,0.1324041811846689,P05,Paraphrase,set the cream cheese box as well as the butter inside the basket,sha256:20f78d499b78c367,-0.0880357101559639,-0.1146079450845718,-0.5572880506515503,-1.009631872177124,OPENING,0.24549126667026938,0.9161728704568125,23.627156874075588,-0.03593886829912661,-0.16704508811235425,-0.5489364713430405,0.2034024736292137
3,38,794,0.1324041811846689,P06,Paraphrase,pack the basket with both the cream cheese box and the butter,sha256:20f78d499b78c367,-0.04363813996315,-0.1669423580169677,-0.5431373715400696,-1.0076366662979126,OPENING,0.1782438366159422,0.9568580349369978,16.89123677404455,-0.03593886829912661,-0.16704508811235425,-0.5489364713430405,0.2034024736292137
3,38,794,0.1324041811846689,P03,Paraphrase,move the cream cheese box and the butter into the basket,sha256:20f78d499b78c367,-0.0891034230589866,-0.1829436719417572,-0.6442168951034546,-1.0182870626449585,OPENING,0.23491040275242012,0.938196235142266,20.249188973799583,-0.03593886829912661,-0.16704508811235425,-0.5489364713430405,0.2034024736292137
3,38,794,0.1324041811846689,P08,Paraphrase,ensure that both the butter and the cream cheese box are inside the basket,sha256:20f78d499b78c367,-0.1155035719275474,-0.1350975036621093,-0.5509355664253235,-1.009260177612305,OPENING,0.2562549794049482,0.9086970000630247,24.67409689572368,-0.03593886829912661,-0.16704508811235425,-0.5489364713430405,0.2034024736292137
3,38,794,0.1324041811846689,P01,Paraphrase,place both the cream cheese box and the butter in the basket,sha256:20f78d499b78c367,0.082033097743988,-0.2852880358695984,-0.5502063035964966,-1.0133192539215088,OPENING,0.03154519684123756,0.9989508189919937,2.6248278111082937,-0.03593886829912661,-0.16704508811235425,-0.5489364713430405,0.2034024736292137
3,38,794,0.1324041811846689,P04,Paraphrase,"transfer both items, the cream cheese box and the butter, to the basket",sha256:20f78d499b78c367,0.2232777774333953,-0.1470137983560562,-0.4797295928001404,-1.0085406303405762,OPENING,0.1783840544502567,0.9583478211301154,16.59493594425949,-0.03593886829912661,-0.16704508811235425,-0.5489364713430405,0.2034024736292137
3,38,794,0.1324041811846689,P07,Paraphrase,take the cream cheese box and the butter and place them in the basket,sha256:20f78d499b78c367,-0.1883124113082885,-0.1080881059169769,-0.5962320566177368,-1.0176197290420532,OPENING,0.33737523354031856,0.8539733455274866,31.35350116836458,-0.03593886829912661,-0.16704508811235425,-0.5489364713430405,0.2034024736292137
3,38,794,0.1324041811846689,P02,Paraphrase,put the butter and the cream cheese box together inside the basket,sha256:20f78d499b78c367,-0.0864734873175621,-0.2059676349163055,-0.5885949730873108,-1.0116249322891235,OPENING,0.20601758295738204,0.9452894944290493,19.0402742146756,-0.03593886829912661,-0.16704508811235425,-0.5489364713430405,0.2034024736292137
3,38,794,0.1324041811846689,P10,Paraphrase,"into the basket, place both the cream cheese box and the butter",sha256:20f78d499b78c367,-0.0653302446007728,-0.1998440623283386,-0.4888339638710022,-1.011021852493286,OPENING,0.1895345359927328,0.9544094278268059,17.367571533271278,-0.03593886829912661,-0.16704508811235425,-0.5489364713430405,0.2034024736292137
3,38,794,0.1324041811846689,P09,Paraphrase,the cream cheese box and the butter should both be put into the basket,sha256:20f78d499b78c367,0.0116974301636219,-0.1246577650308609,-0.4901899397373199,-1.0209766626358032,OPENING,0.17626764706662942,0.967710586645741,14.599678100175568,-0.03593886829912661,-0.16704508811235425,-0.5489364713430405,0.2034024736292137
3,38,794,0.1324041811846689,C09,Contradictory,put the cream cheese box beside the basket and leave the butter on the table,sha256:20f78d499b78c367,-0.0788201913237571,-0.1504708230495453,-0.5462148189544678,-1.0068477392196655,OPENING,0.2167920788111599,0.9349977748680571,20.77221452773929,-0.10609240904450412,-0.15594736188650127,-0.5629423916339874,0.24481647053100541
